Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC
1/1/2015,6,1,-3
1/2/2015,6,3,0
1/3/2015,5,3,2
1/4/2015,11,7,3
1/5/2015,12,11,9
1/6/2015,12,9,6
1/7/2015,8,7,6
1/8/2015,8,5,2
1/9/2015,10,7,3
1/10/2015,8,7,6
1/11/2015,9,8,7
1/12/2015,11,8,4
1/13/2015,9,6,3
1/14/2015,6,3,1
1/15/2015,8,4,1
1/16/2015,12,9,6
1/17/2015,13,8,3
1/18/2015,14,11,7
1/19/2015,10,8,6
1/20/2015,10,7,3
1/21/2015,7,3,-1
1/22/2015,9,8,6
1/23/2015,12,11,8
1/24/2015,14,13,11
1/25/2015,17,12,7
1/26/2015,16,11,6
1/27/2015,11,10,8
1/28/2015,12,9,5
1/29/2015,12,8,3
1/30/2015,8,5,1
1/31/2015,7,6,3
2/1/2015,9,7,4
2/2/2015,11,8,5
2/3/2015,10,8,6
2/4/2015,11,8,4
2/5/2015,13,11,8
2/6/2015,14,12,10
2/7/2015,12,11,9
2/8/2015,15,12,8
2/9/2015,13,11,8
2/10/2015,13,11,8
2/11/2015,13,9,6
2/12/2015,17,13,9
2/13/2015,16,11,7
2/14/2015,14,11,7
2/15/2015,12,8,4
2/16/2015,15,11,6
2/17/2015,16,11,4
2/18/2015,12,8,4
2/19/2015,11,9,8
2/20/2015,11,9,7
2/21/2015,12,9,6
2/22/2015,12,8,3
2/23/2015,13,7,1
2/24/2015,11,7,2
2/25/2015,10,8,7
2/26/2015,12,10,8
2/27/2015,10,8,7
2/28/2015,12,8,3
3/1/2015,11,6,1
3/2/2015,11,8,4
3/3/2015,11,6,0
3/4/2015,13,6,-1
3/5/2015,13,8,3
3/6/2015,15,9,3
3/7/2015,17,11,4
3/8/2015,17,11,4
3/9/2015,14,9,4
3/10/2015,13,9,5
3/11/2015,14,12,9
3/12/2015,18,14,9
3/13/2015,17,13,8
3/14/2015,14,12,9
3/15/2015,11,8,6
3/16/2015,14,10,6
3/17/2015,13,9,4
3/18/2015,16,12,7
3/19/2015,16,12,8
3/20/2015,14,12,9
3/21/2015,13,11,8
3/22/2015,12,9,6
3/23/2015,11,8,6
3/24/2015,13,9,6
3/25/2015,14,11,7
3/26/2015,21,16,10
3/27/2015,18,14,9
3/28/2015,16,13,9
3/29/2015,16,12,9
3/30/2015,18,14,11
3/31/2015,13,9,6
4/1/2015,13,9,6
4/2/2015,13,9,6
4/3/2015,11,8,5
4/4/2015,13,8,4
4/5/2015,17,10,3
4/6/2015,14,11,7
4/7/2015,14,11,7
4/8/2015,17,12,6
4/9/2015,17,12,6
4/10/2015,14,11,8
4/11/2015,12,9,6
4/12/2015,13,9,6
4/13/2015,12,8,4
4/14/2015,12,7,3
4/15/2015,14,9,3
4/16/2015,18,11,4
4/17/2015,19,13,6
4/18/2015,19,14,8
4/19/2015,21,15,8
4/20/2015,23,16,8
4/21/2015,17,12,7
4/22/2015,16,11,5
4/23/2015,12,9,7
4/24/2015,12,9,6
4/25/2015,13,9,6
4/26/2015,16,10,4
4/27/2015,25,18,11
4/28/2015,16,12,9
4/29/2015,16,12,7
4/30/2015,17,13,8
5/1/2015,18,14,9
5/2/2015,18,13,8
5/3/2015,21,14,8
5/4/2015,17,12,7
5/5/2015,14,11,7
5/6/2015,17,12,7
5/7/2015,21,13,6
5/8/2015,24,16,8
5/9/2015,27,18,9
5/10/2015,19,16,11
5/11/2015,14,12,10
5/12/2015,16,13,11
5/13/2015,12,11,10
5/14/2015,18,14,9
5/15/2015,20,15,9
5/16/2015,16,13,11
5/17/2015,19,15,11
5/18/2015,26,19,12
5/19/2015,22,17,12
5/20/2015,23,17,11
5/21/2015,26,19,12
5/22/2015,17,14,12
5/23/2015,16,14,12
5/24/2015,18,14,11
5/25/2015,16,13,11
5/26/2015,22,17,12
5/27/2015,24,18,12
5/28/2015,28,20,12
5/29/2015,26,19,13
5/30/2015,23,17,10
5/31/2015,25,18,12
6/1/2015,16,14,12
6/2/2015,18,16,13
6/3/2015,20,16,12
6/4/2015,23,17,12
6/5/2015,27,20,13
6/6/2015,29,22,13
6/7/2015,31,23,16
6/8/2015,31,23,14
6/9/2015,29,22,14
6/10/2015,26,18,11
6/11/2015,24,18,11
6/12/2015,20,16,12
6/13/2015,24,17,9
6/14/2015,28,20,12
6/15/2015,30,23,16
6/16/2015,23,17,11
6/17/2015,25,18,11
6/18/2015,24,19,14
6/19/2015,24,19,13
6/20/2015,25,19,13
6/21/2015,26,20,14
